sector_2d,sector_label,window,dominant_regime,dominant_interpretability,dominant_tool,interpretable_share,phase_share,do_not_read_share,best_spec_mode,mean_adj_r2_best,top_beta_mode,mean_b_sum_best
01,01 — Растениеводство в сочетании с животноводством (с,5,monotone_growth,interpretable,structural_m1_m2,0.6875,0.0,0.3125,M1_current,0.17816255312122503,X_n,0.0
05,05 — Рыболовство в открытых районах Мирового океана и,5,monotone_growth,interpretable,structural_m1_m2,1.0,0.3125,0.0,M1_current,-0.03500496425519613,X_n,0.0
15,15 — Производство хлеба и мучных кондитерских изделий,5,plateau_like,low_dispersion,do_not_read_regression,0.375,0.0,0.625,M1_current,0.08925186135288075,X_n,0.0
18,18 — Производство спецодежды,5,monotone_growth,interpretable,structural_m1_m2,0.8125,0.1875,0.1875,M1_current,0.17526174099439076,X_n,0.0
20,"20 — Производство клееной фанеры, древесных плит и па",5,monotone_growth,interpretable,structural_m1_m2,0.75,0.1875,0.25,M1_current,0.3510916693641913,X_n,0.0
21,"21 — Производство гофрированного картона, бумажной и ",5,monotone_growth,interpretable,structural_m1_m2,0.8125,0.0625,0.1875,M1_current,0.029317159229503183,X_n,0.0
22,"22 — Полиграфическая деятельность, не включенная в др",5,plateau_like,interpretable,structural_m1_m2,0.5625,0.125,0.4375,M1_current,0.501321966131984,X_n,0.0
24,24 — Производство прочих фармацевтических продуктов и,5,monotone_growth,interpretable,structural_m1_m2,0.8125,0.0,0.1875,M1_current,0.12795645431402689,X_n,0.0
25,"25 — Производство пластмассовых плит, полос, труб и п",5,oscillatory,interpretable,structural_m1_m2,1.0,0.0,0.0,M1_current,0.2012191633548334,X_n,0.0
26,26 — Производство изделий из бетона для использования,5,monotone_growth,interpretable,structural_m1_m2,0.875,0.0625,0.125,M1_current,0.3220873819786796,X_n,0.0
28,28 — Производство строительных металлических конструк,5,monotone_growth,interpretable,structural_m1_m2,0.875,0.1875,0.125,M1_current,0.3357576939393629,X_n,0.0
29,29 — Производство машин и оборудования для изготовлен,5,shock_transition,interpretable,structural_m1_m2,0.75,0.3125,0.25,M1_current,0.11600996798219054,X_n,0.0
31,"31 — Предоставление услуг по монтажу, ремонту и техни",5,monotone_growth,interpretable,structural_m1_m2,0.75,0.125,0.25,M1_current,0.18222783358381517,X_n,0.0
36,36 — Производство мебели для офисов и предприятий тор,5,oscillatory,interpretable,structural_m1_m2,0.875,0.0,0.125,M1_current,0.22073490491764952,X_n,0.0
40,40 — Производство пара и горячей воды (тепловой энерг,5,plateau_like,low_dispersion,do_not_read_regression,0.5,0.0,0.5,M1_current,0.2489205757786367,X_n,0.0
41,41 — Распределение воды,5,plateau_like,low_dispersion,do_not_read_regression,0.4375,0.0,0.5625,M1_current,0.13138234663855033,X_n,0.0
45,45 — Строительство зданий и сооружений,5,oscillatory,interpretable,structural_m1_m2,0.75,0.125,0.25,M1_current,0.21298896853060023,X_n,0.0
50,"50 — Оптовая торговля автомобильными деталями, узлами",5,plateau_like,interpretable,structural_m1_m2,0.5625,0.0625,0.4375,M1_current,0.34349933373688124,X_n,0.0
51,51 — Прочая оптовая торговля,5,plateau_like,low_dispersion,do_not_read_regression,0.5,0.0,0.5,M1_current,0.3264530467320054,X_n,0.0
52,52 — Розничная торговля в неспециализированных магази,5,plateau_like,low_dispersion,do_not_read_regression,0.1875,0.0,0.8125,M1_current,0.5108115204220813,X_n,0.0
55,55 — Деятельность ресторанов,5,plateau_like,interpretable,structural_m1_m2,0.5625,0.125,0.4375,M1_current,0.22871282793352832,X_n,0.0
60,60 — Деятельность автомобильного грузового неспециали,5,oscillatory,interpretable,structural_m1_m2,0.6875,0.125,0.3125,M1_current,0.28857668761981325,X_n,0.0
63,63 — Хранение и складирование зерна,5,monotone_growth,interpretable,structural_m1_m2,0.9375,0.25,0.0625,M1_current,0.16877206534515496,X_n,0.0
64,64 — Деятельность в области электросвязи,5,plateau_like,interpretable,structural_m1_m2,0.5625,0.125,0.4375,M1_current,0.22767460349086682,X_n,0.0
70,70 — Сдача внаем собственного нежилого недвижимого им,5,plateau_like,low_dispersion,do_not_read_regression,0.25,0.0,0.75,M1_current,0.1999483842040212,X_n,0.0
72,72 — Разработка программного обеспечения,5,oscillatory,interpretable,structural_m1_m2,0.75,0.125,0.25,M1_current,0.3997272670210078,X_n,0.0
74,"74 — Деятельность в области архитектуры, инженерно те",5,oscillatory,interpretable,structural_m1_m2,0.875,0.0625,0.125,M1_current,0.26781150822980176,X_n,0.0
85,85 — Деятельность санаторно-курортных учреждений,5,plateau_like,low_dispersion,do_not_read_regression,0.4375,0.0625,0.5625,M1_current,0.12097351356613195,X_n,0.0
93,93 — Организация похорон и предоставление связанных с,5,plateau_like,low_dispersion,do_not_read_regression,0.375,0.125,0.625,M1_current,0.35380780400784767,X_n,0.0
01,01 — Растениеводство в сочетании с животноводством (с,7,monotone_growth,collinearity_heavy,enter_beta_bsum,0.14285714285714285,0.0,0.0,M1_current,0.08770905068512427,Lag_1,2.9336375658609416e-06
05,05 — Рыболовство в открытых районах Мирового океана и,7,shock_transition,interpretable,phase_trajectory,0.8571428571428571,0.5,0.0,M2_current_lag1,0.38447376694059926,X_n,6.337985438193859e-06
15,15 — Производство хлеба и мучных кондитерских изделий,7,monotone_growth,collinearity_heavy,enter_beta_bsum,0.14285714285714285,0.0,0.42857142857142855,M1_current,0.09786033148865515,X_n,1.8369981571111215e-06
18,18 — Производство спецодежды,7,oscillatory,interpretable,structural_m1_m2,0.7142857142857143,0.21428571428571427,0.21428571428571427,M1_current,-0.014610280382234173,X_n,-2.2467330945120187e-06
20,"20 — Производство клееной фанеры, древесных плит и па",7,oscillatory,interpretable,structural_m1_m2,0.6428571428571429,0.2857142857142857,0.14285714285714285,M1_current,0.12795721792584633,X_n,-1.4999413650510291e-06
21,"21 — Производство гофрированного картона, бумажной и ",7,oscillatory,interpretable,structural_m1_m2,0.8571428571428571,0.0,0.07142857142857142,M1_current,-0.1123355958449753,X_n,1.2796799835738652e-06
22,"22 — Полиграфическая деятельность, не включенная в др",7,oscillatory,interpretable,structural_m1_m2,0.5714285714285714,0.07142857142857142,0.2857142857142857,M1_current,0.43986469996785627,X_n,2.6034290502087475e-05
24,24 — Производство прочих фармацевтических продуктов и,7,oscillatory,interpretable,structural_m1_m2,0.8571428571428571,0.07142857142857142,0.0,M2_current_lag1,0.11480560555862862,X_n,4.469439742685654e-06
25,"25 — Производство пластмассовых плит, полос, труб и п",7,oscillatory,interpretable,structural_m1_m2,0.8571428571428571,0.0,0.0,M1_current,-0.11851116115085429,X_n,1.6252435108488776e-06
26,26 — Производство изделий из бетона для использования,7,oscillatory,interpretable,structural_m1_m2,0.8571428571428571,0.0,0.0,M1_lag1,0.4068363596659352,X_n,-2.7017461223091434e-06
28,28 — Производство строительных металлических конструк,7,oscillatory,interpretable,structural_m1_m2,0.9285714285714286,0.07142857142857142,0.0,M2_current_lag1,0.5141692501723341,X_n,-6.9713329646296794e-06
29,29 — Производство машин и оборудования для изготовлен,7,oscillatory,interpretable,structural_m1_m2,0.8571428571428571,0.35714285714285715,0.07142857142857142,M1_current,0.19160582988459707,X_n,-1.175382209794927e-06
31,"31 — Предоставление услуг по монтажу, ремонту и техни",7,oscillatory,interpretable,structural_m1_m2,0.8571428571428571,0.14285714285714285,0.0,M1_lag1,0.21721071515830395,Lag_1,-8.006955963355794e-06
36,36 — Производство мебели для офисов и предприятий тор,7,oscillatory,interpretable,structural_m1_m2,0.9285714285714286,0.0,0.0,M1_current,0.01899857097701783,X_n,-4.672612494263244e-06
40,40 — Производство пара и горячей воды (тепловой энерг,7,oscillatory,interpretable,structural_m1_m2,0.5714285714285714,0.0,0.35714285714285715,M2_current_lag1,0.21044349988408614,X_n,2.1806578763455346e-06
41,41 — Распределение воды,7,monotone_growth,low_dispersion,do_not_read_regression,0.2857142857142857,0.0,0.5,M1_current,0.10161227454233426,X_n,2.0895720797930586e-06
45,45 — Строительство зданий и сооружений,7,oscillatory,interpretable,structural_m1_m2,0.7857142857142857,0.07142857142857142,0.14285714285714285,M2_current_lag1,0.5298475276017746,X_n,-2.827517138738626e-06
50,"50 — Оптовая торговля автомобильными деталями, узлами",7,oscillatory,interpretable,structural_m1_m2,0.7142857142857143,0.0,0.21428571428571427,M2_current_lag1,0.4159990353184546,X_n,-3.695477506373611e-06
51,51 — Прочая оптовая торговля,7,oscillatory,interpretable,structural_m1_m2,0.6428571428571429,0.0,0.2857142857142857,M2_current_lag1,0.3136558151193113,X_n,-7.073277307997991e-07
52,52 — Розничная торговля в неспециализированных магази,7,plateau_like,low_dispersion,do_not_read_regression,0.0,0.0,0.6428571428571429,M1_current,0.5074083867786984,X_n,-1.523700221088851e-07
55,55 — Деятельность ресторанов,7,oscillatory,interpretable,structural_m1_m2,0.7142857142857143,0.14285714285714285,0.14285714285714285,M1_current,0.26127094450765076,X_n,-6.174415345916463e-06
60,60 — Деятельность автомобильного грузового неспециали,7,oscillatory,interpretable,structural_m1_m2,0.8571428571428571,0.0,0.0,M1_current,0.2961947491178967,X_n,-3.4151456303711536e-06
63,63 — Хранение и складирование зерна,7,oscillatory,interpretable,structural_m1_m2,0.9285714285714286,0.07142857142857142,0.0,M1_current,0.14446098001506114,X_n,-4.447214122687132e-06
64,64 — Деятельность в области электросвязи,7,oscillatory,interpretable,structural_m1_m2,0.7142857142857143,0.21428571428571427,0.07142857142857142,M1_current,0.5068091570972765,X_n,2.4939943078485035e-07
70,70 — Сдача внаем собственного нежилого недвижимого им,7,plateau_like,low_dispersion,do_not_read_regression,0.2857142857142857,0.0,0.6428571428571429,M1_current,0.025180135433714272,X_n,1.2736508188184206e-05
72,72 — Разработка программного обеспечения,7,oscillatory,interpretable,structural_m1_m2,0.8571428571428571,0.0,0.0,M1_current,0.3579144812364502,X_n,-1.1319917188113031e-06
74,"74 — Деятельность в области архитектуры, инженерно те",7,oscillatory,interpretable,structural_m1_m2,0.7857142857142857,0.14285714285714285,0.07142857142857142,M1_current,0.35220145254789476,Lag_1,-9.547870164662566e-06
85,85 — Деятельность санаторно-курортных учреждений,7,plateau_like,low_dispersion,do_not_read_regression,0.35714285714285715,0.14285714285714285,0.5,M1_current,-0.030484256818455617,X_n,-4.938780064185599e-07
93,93 — Организация похорон и предоставление связанных с,7,plateau_like,low_dispersion,do_not_read_regression,0.21428571428571427,0.07142857142857142,0.5,M1_current,0.23752909024523408,X_n,4.013263396554577e-05
