variant,step,value
true_nonlinear,1,0.9999998845655211
true_nonlinear,2,0.999999954905493
true_nonlinear,3,1.000000047253072
true_nonlinear,4,1.0000000833286793
true_nonlinear,5,1.0000000455262186
true_nonlinear,6,0.9999999788632721
true_nonlinear,7,0.999999942442298
true_nonlinear,8,0.9999999593516793
true_nonlinear,9,1.000000005397839
true_nonlinear,10,1.0000000379164957
true_nonlinear,11,1.0000000335982242
true_nonlinear,12,1.0000000032650267
true_nonlinear,13,0.9999999763864472
true_nonlinear,14,0.999999973774426
true_nonlinear,15,0.9999999926652677
true_nonlinear,16,1.0000000136457268
true_nonlinear,17,1.0000000195135126
true_nonlinear,18,1.000000008596931
true_nonlinear,19,0.9999999929861207
true_nonlinear,20,0.999999986108576
true_nonlinear,21,0.9999999917196793
true_nonlinear,22,1.0000000028328184
true_nonlinear,23,1.000000009457075
true_nonlinear,24,1.0000000071908202
true_nonlinear,25,0.9999999996251602
true_nonlinear,26,0.999999993872504
true_nonlinear,27,0.999999994172376
true_nonlinear,28,0.9999999990743726
true_nonlinear,29,1.0000000037364718
true_nonlinear,30,1.0000000044769737
true_nonlinear,31,1.0000000014877963
true_nonlinear,32,0.9999999979062174
true_nonlinear,33,0.9999999967159804
true_nonlinear,34,0.9999999983910065
true_nonlinear,35,1.0000000010182222
true_nonlinear,36,1.000000002305417
true_nonlinear,37,1.0000000014908392
true_nonlinear,38,0.9999999996465057
true_nonlinear,39,0.9999999984538342
true_nonlinear,40,0.9999999987366297
true_nonlinear,41,0.9999999999735623
true_nonlinear,42,1.0000000009842585
true_nonlinear,43,1.0000000010054086
true_nonlinear,44,1.0000000002180018
true_nonlinear,45,0.9999999994136749
true_nonlinear,46,0.9999999992392734
true_nonlinear,47,0.9999999997083335
true_nonlinear,48,1.0000000003169147
true_nonlinear,49,1.0000000005502478
true_nonlinear,50,1.000000000296716
true_nonlinear,51,0.9999999998565177
true_nonlinear,52,0.9999999996191449
true_nonlinear,53,0.9999999997339307
true_nonlinear,54,1.000000000038615
true_nonlinear,55,1.0000000002514704
true_nonlinear,56,1.0000000002205784
true_nonlinear,57,1.000000000019402
true_nonlinear,58,0.9999999998429393
true_nonlinear,59,0.9999999998274177
true_nonlinear,60,0.9999999999530663
true_nonlinear,61,1.0000000000911322
true_nonlinear,62,1.000000000128679
true_nonlinear,63,1.0000000000557734
true_nonlinear,64,0.9999999999528302
true_nonlinear,65,0.9999999999082114
true_nonlinear,66,0.9999999999459472
true_nonlinear,67,1.000000000019378
true_nonlinear,68,1.0000000000626204
true_nonlinear,69,1.0000000000471179
true_nonlinear,70,0.9999999999970216
true_nonlinear,71,0.9999999999593273
true_nonlinear,72,0.9999999999617101
true_nonlinear,73,0.9999999999942483
true_nonlinear,74,1.00000000002488
true_nonlinear,75,1.0000000000294815
true_nonlinear,76,1.0000000000095774
true_nonlinear,77,0.9999999999859922
true_nonlinear,78,0.9999999999783302
true_nonlinear,79,0.9999999999895365
true_nonlinear,80,1.0000000000068723
true_nonlinear,81,1.0000000000152431
true_nonlinear,82,1.0000000000097453
true_nonlinear,83,0.9999999999975508
true_nonlinear,84,0.9999999999897546
true_nonlinear,85,0.999999999991714
true_nonlinear,86,0.9999999999999103
true_nonlinear,87,1.0000000000065392
true_nonlinear,88,1.000000000006611
true_nonlinear,89,1.0000000000013796
true_nonlinear,90,0.9999999999960908
true_nonlinear,91,0.9999999999949871
true_nonlinear,92,0.9999999999981145
true_nonlinear,93,1.0000000000021247
true_nonlinear,94,1.000000000003633
true_nonlinear,95,1.0000000000019333
true_nonlinear,96,0.9999999999990269
true_nonlinear,97,0.9999999999974802
true_nonlinear,98,0.9999999999982587
true_nonlinear,99,1.0000000000002744
true_nonlinear,100,1.0000000000016676
lag1_only,1,0.999999884565521
lag1_only,2,0.9999999549054928
lag1_only,3,1.0000000472530715
lag1_only,4,1.0000000833286788
lag1_only,5,1.0000000455262184
lag1_only,6,0.9999999788632722
lag1_only,7,0.9999999424422982
lag1_only,8,0.9999999593516793
lag1_only,9,1.0000000053978388
lag1_only,10,1.0000000379164955
lag1_only,11,1.0000000335982242
lag1_only,12,1.0000000032650267
lag1_only,13,0.9999999763864471
lag1_only,14,0.9999999737744257
lag1_only,15,0.9999999926652675
lag1_only,16,1.0000000136457265
lag1_only,17,1.0000000195135124
lag1_only,18,1.000000008596931
lag1_only,19,0.9999999929861209
lag1_only,20,0.999999986108576
lag1_only,21,0.999999991719679
lag1_only,22,1.000000002832818
lag1_only,23,1.0000000094570747
lag1_only,24,1.0000000071908202
lag1_only,25,0.9999999996251603
lag1_only,26,0.999999993872504
lag1_only,27,0.9999999941723757
lag1_only,28,0.9999999990743723
lag1_only,29,1.0000000037364714
lag1_only,30,1.0000000044769732
lag1_only,31,1.0000000014877959
lag1_only,32,0.9999999979062172
lag1_only,33,0.9999999967159804
lag1_only,34,0.9999999983910065
lag1_only,35,1.000000001018222
lag1_only,36,1.0000000023054167
lag1_only,37,1.000000001490839
lag1_only,38,0.9999999996465055
lag1_only,39,0.9999999984538342
lag1_only,40,0.9999999987366298
lag1_only,41,0.9999999999735621
lag1_only,42,1.000000000984258
lag1_only,43,1.0000000010054082
lag1_only,44,1.0000000002180016
lag1_only,45,0.9999999994136749
lag1_only,46,0.9999999992392735
lag1_only,47,0.9999999997083334
lag1_only,48,1.0000000003169145
lag1_only,49,1.0000000005502476
lag1_only,50,1.0000000002967158
lag1_only,51,0.9999999998565176
lag1_only,52,0.9999999996191449
lag1_only,53,0.9999999997339308
lag1_only,54,1.0000000000386147
lag1_only,55,1.0000000002514697
lag1_only,56,1.0000000002205778
lag1_only,57,1.0000000000194018
lag1_only,58,0.9999999998429395
lag1_only,59,0.9999999998274179
lag1_only,60,0.9999999999530663
lag1_only,61,1.0000000000911318
lag1_only,62,1.0000000001286786
lag1_only,63,1.000000000055773
lag1_only,64,0.99999999995283
lag1_only,65,0.9999999999082115
lag1_only,66,0.9999999999459476
lag1_only,67,1.000000000019378
lag1_only,68,1.00000000006262
lag1_only,69,1.0000000000471172
lag1_only,70,0.9999999999970212
lag1_only,71,0.9999999999593273
lag1_only,72,0.9999999999617103
lag1_only,73,0.9999999999942483
lag1_only,74,1.0000000000248797
lag1_only,75,1.0000000000294809
lag1_only,76,1.000000000009577
lag1_only,77,0.9999999999859922
lag1_only,78,0.9999999999783304
lag1_only,79,0.9999999999895366
lag1_only,80,1.000000000006872
lag1_only,81,1.0000000000152427
lag1_only,82,1.0000000000097449
lag1_only,83,0.9999999999975506
lag1_only,84,0.9999999999897546
lag1_only,85,0.999999999991714
lag1_only,86,0.9999999999999101
lag1_only,87,1.0000000000065388
lag1_only,88,1.0000000000066107
lag1_only,89,1.0000000000013796
lag1_only,90,0.9999999999960909
lag1_only,91,0.9999999999949871
lag1_only,92,0.9999999999981144
lag1_only,93,1.0000000000021245
lag1_only,94,1.0000000000036329
lag1_only,95,1.0000000000019331
lag1_only,96,0.9999999999990267
lag1_only,97,0.99999999999748
lag1_only,98,0.9999999999982585
lag1_only,99,1.0000000000002742
lag1_only,100,1.0000000000016673
stepwise_full,1,0.9999998845655212
stepwise_full,2,0.9999999549054932
stepwise_full,3,1.0000000472530721
stepwise_full,4,1.0000000833286793
stepwise_full,5,1.0000000455262186
stepwise_full,6,0.9999999788632723
stepwise_full,7,0.9999999424422983
stepwise_full,8,0.9999999593516794
stepwise_full,9,1.0000000053978388
stepwise_full,10,1.0000000379164955
stepwise_full,11,1.0000000335982244
stepwise_full,12,1.0000000032650271
stepwise_full,13,0.9999999763864476
stepwise_full,14,0.9999999737744261
stepwise_full,15,0.9999999926652676
stepwise_full,16,1.0000000136457265
stepwise_full,17,1.0000000195135126
stepwise_full,18,1.0000000085969314
stepwise_full,19,0.9999999929861213
stepwise_full,20,0.9999999861085763
stepwise_full,21,0.9999999917196791
stepwise_full,22,1.0000000028328182
stepwise_full,23,1.000000009457075
stepwise_full,24,1.0000000071908204
stepwise_full,25,0.9999999996251606
stepwise_full,26,0.9999999938725044
stepwise_full,27,0.9999999941723758
stepwise_full,28,0.9999999990743724
stepwise_full,29,1.0000000037364718
stepwise_full,30,1.000000004476974
stepwise_full,31,1.0000000014877966
stepwise_full,32,0.9999999979062175
stepwise_full,33,0.9999999967159804
stepwise_full,34,0.9999999983910065
stepwise_full,35,1.0000000010182222
stepwise_full,36,1.000000002305417
stepwise_full,37,1.0000000014908392
stepwise_full,38,0.9999999996465058
stepwise_full,39,0.9999999984538345
stepwise_full,40,0.9999999987366298
stepwise_full,41,0.9999999999735624
stepwise_full,42,1.0000000009842585
stepwise_full,43,1.0000000010054086
stepwise_full,44,1.0000000002180018
stepwise_full,45,0.999999999413675
stepwise_full,46,0.9999999992392736
stepwise_full,47,0.9999999997083338
stepwise_full,48,1.000000000316915
stepwise_full,49,1.000000000550248
stepwise_full,50,1.0000000002967162
stepwise_full,51,0.9999999998565179
stepwise_full,52,0.999999999619145
stepwise_full,53,0.9999999997339307
stepwise_full,54,1.0000000000386147
stepwise_full,55,1.0000000002514702
stepwise_full,56,1.0000000002205784
stepwise_full,57,1.0000000000194023
stepwise_full,58,0.9999999998429396
stepwise_full,59,0.9999999998274179
stepwise_full,60,0.9999999999530663
stepwise_full,61,1.000000000091132
stepwise_full,62,1.000000000128679
stepwise_full,63,1.0000000000557736
stepwise_full,64,0.9999999999528305
stepwise_full,65,0.9999999999082118
stepwise_full,66,0.9999999999459473
stepwise_full,67,1.0000000000193778
stepwise_full,68,1.00000000006262
stepwise_full,69,1.0000000000471176
stepwise_full,70,0.9999999999970218
stepwise_full,71,0.9999999999593279
stepwise_full,72,0.9999999999617104
stepwise_full,73,0.9999999999942482
stepwise_full,74,1.0000000000248799
stepwise_full,75,1.0000000000294813
stepwise_full,76,1.0000000000095774
stepwise_full,77,0.9999999999859925
stepwise_full,78,0.9999999999783307
stepwise_full,79,0.9999999999895366
stepwise_full,80,1.000000000006872
stepwise_full,81,1.000000000015243
stepwise_full,82,1.0000000000097453
stepwise_full,83,0.9999999999975511
stepwise_full,84,0.999999999989755
stepwise_full,85,0.9999999999917141
stepwise_full,86,0.9999999999999102
stepwise_full,87,1.0000000000065388
stepwise_full,88,1.0000000000066107
stepwise_full,89,1.0000000000013798
stepwise_full,90,0.9999999999960913
stepwise_full,91,0.9999999999949877
stepwise_full,92,0.9999999999981147
stepwise_full,93,1.0000000000021245
stepwise_full,94,1.0000000000036329
stepwise_full,95,1.0000000000019333
stepwise_full,96,0.9999999999990271
stepwise_full,97,0.9999999999974806
stepwise_full,98,0.9999999999982588
stepwise_full,99,1.0000000000002742
stepwise_full,100,1.000000000001667
thresholded,1,0.9999998845655218
thresholded,2,0.9999999549054942
thresholded,3,1.0000000472530735
thresholded,4,1.0000000833286804
thresholded,5,1.0000000455262192
thresholded,6,0.9999999788632726
thresholded,7,0.9999999424422987
thresholded,8,0.9999999593516803
thresholded,9,1.00000000539784
thresholded,10,1.0000000379164966
thresholded,11,1.000000033598225
thresholded,12,1.0000000032650274
thresholded,13,0.9999999763864479
thresholded,14,0.9999999737744267
thresholded,15,0.9999999926652685
thresholded,16,1.0000000136457274
thresholded,17,1.0000000195135132
thresholded,18,1.0000000085969318
thresholded,19,0.9999999929861217
thresholded,20,0.999999986108577
thresholded,21,0.99999999171968
thresholded,22,1.000000002832819
thresholded,23,1.0000000094570758
thresholded,24,1.000000007190821
thresholded,25,0.9999999996251611
thresholded,26,0.9999999938725049
thresholded,27,0.9999999941723766
thresholded,28,0.9999999990743732
thresholded,29,1.0000000037364725
thresholded,30,1.0000000044769746
thresholded,31,1.0000000014877972
thresholded,32,0.9999999979062182
thresholded,33,0.999999996715981
thresholded,34,0.9999999983910072
thresholded,35,1.0000000010182228
thresholded,36,1.0000000023054176
thresholded,37,1.00000000149084
thresholded,38,0.9999999996465064
thresholded,39,0.9999999984538351
thresholded,40,0.9999999987366307
thresholded,41,0.9999999999735633
thresholded,42,1.0000000009842591
thresholded,43,1.0000000010054093
thresholded,44,1.0000000002180027
thresholded,45,0.9999999994136759
thresholded,46,0.9999999992392744
thresholded,47,0.9999999997083343
thresholded,48,1.0000000003169154
thresholded,49,1.0000000005502487
thresholded,50,1.000000000296717
thresholded,51,0.9999999998565188
thresholded,52,0.9999999996191458
thresholded,53,0.9999999997339313
thresholded,54,1.0000000000386153
thresholded,55,1.0000000002514708
thresholded,56,1.000000000220579
thresholded,57,1.0000000000194031
thresholded,58,0.9999999998429405
thresholded,59,0.9999999998274187
thresholded,60,0.9999999999530671
thresholded,61,1.0000000000911327
thresholded,62,1.0000000001286795
thresholded,63,1.000000000055774
thresholded,64,0.9999999999528311
thresholded,65,0.9999999999082125
thresholded,66,0.9999999999459483
thresholded,67,1.000000000019379
thresholded,68,1.0000000000626208
thresholded,69,1.0000000000471183
thresholded,70,0.9999999999970224
thresholded,71,0.9999999999593284
thresholded,72,0.9999999999617112
thresholded,73,0.9999999999942492
thresholded,74,1.0000000000248808
thresholded,75,1.000000000029482
thresholded,76,1.000000000009578
thresholded,77,0.999999999985993
thresholded,78,0.9999999999783313
thresholded,79,0.9999999999895375
thresholded,80,1.000000000006873
thresholded,81,1.0000000000152436
thresholded,82,1.0000000000097458
thresholded,83,0.9999999999975515
thresholded,84,0.9999999999897555
thresholded,85,0.9999999999917148
thresholded,86,0.999999999999911
thresholded,87,1.0000000000065399
thresholded,88,1.0000000000066118
thresholded,89,1.0000000000013805
thresholded,90,0.9999999999960917
thresholded,91,0.999999999994988
thresholded,92,0.9999999999981153
thresholded,93,1.0000000000021254
thresholded,94,1.000000000003634
thresholded,95,1.0000000000019342
thresholded,96,0.9999999999990277
thresholded,97,0.9999999999974809
thresholded,98,0.9999999999982594
thresholded,99,1.0000000000002753
thresholded,100,1.0000000000016684
